Header,Group_name,User_name,How_many_remote_servers_websites_on_the_Internet_can_the_smart_coffee_maker_communicate_with,undefined_IP4_800_80,undefined_IPv6_800_80,undefined_IPv4_777_888,undefined_IPv6_777_888,undefined_IPv4_Any_source_port_Any_destination_port,undefined_IPv6_Any_source_port_Any_destination_port,Which_local_device_can_the_coffee_maker_communicate_with,When_the_smart_coffee_maker_communicates_with_the_motion_sensor_locally_which_source_port_numbers_should_it_use,When_the_smart_coffee_maker_communicates_with_the_motion_sensor_locally_which_destination_port_numbers_should_it_use,When_the_motion_sensor_communicates_with_the_coffee_maker_locally_over_UDP_which_internet_layer_protocol_source_port_number_and_destination_port_number_would_it_use,Can_the_smart_fridge_communicate_with_any_other_local_devices_beside_itself,How_many_local_devices_and_remote_servers_can_the_Vase_device_communicate_with,undefined_www_vaseupdater_com,undefined_www_vasefileserver_com,undefined_www_vasedb_com,undefined_www_vasefirmware_com,undefined_www_vaselinks_com,undefined_www_vasedatabase_com,undefined_TCP_IPv4_Any_Source_Port_443,undefined_TCP_IPv6_Any_Source_Port_443,undefined_UDP_IPv4_Any_Source_Port_Any_Destination_Port,undefined_UDP_IPv6_Any_Source_Port_Any_Destination_Port,ResponseTime,participant,valid_participant,What_is_your_age,Which_gender_do_you_most_identify_with,What_is_the_highest_degree_or_level_of_school_you_have_completed_If_you_are_currently_enrolled_in_school_please_indicate_the_highest_degree_you_have_received_,What_is_your_current_employment_status,What_is_your_annual_income,ResponseTime,participant,valid_participant,undefined_Pretending_to_be_someone_or_a_company_to_steal_users_information,undefined_Making_a_fake_website_that_looks_legitimate_to_steal_user_information,undefined_Sending_spam_emails_Defrauding_someone_online,undefined_Other_methods_for_stealing_information,undefined_Hacking_someones_computer,undefined_Tracking_your_internet_habits_to_send_advertisements_,undefined_I_Do_not_Know,undefined_The_certificate_provides_encryption,undefined_The_certificate_protects_information,undefined_The_certificate_shows_the_website_is_registered_and_valid,undefined_The_certificate_actively_is_secure_and_safe_against_malicious_stuff_including_hackers,undefined_The_website_is_trustworthy_and_has_proper_privacy_protection_and_is_accountable_for_information_use,SQL_injection_is_a_technique_to,The_difference_between_a_passive_and_reactive_Intrusion_Detection_System_is,Without_any_other_changes_in_the_default_settings_of_a_web_server_what_can_be_the_motivation_to_close_port_80,How_many_computer_programming_languages_do_you_know_Not_including_HTML,How_many_years_of_working_experience_do_you_have_in_network_operation_and_security_area,On_average_how_many_times_do_you_have_to_deal_with_computer_security_related_problems,undefined_Firewall,undefined_Antivirus,undefined_Intrusion_Detection_System_IDS,undefined_Secure_Shell_SSH,undefined_Pretty_Good_Privacy_PGP,undefined_Access_control_AC,undefined_Designed_a_website,undefined_Registered_a_domain_name,undefined_Used_SSH,undefined_Configured_a_firewall,undefined_Created_a_database,undefined_Installed_a_computer_program,undefined_Written_a_computer_program,undefined_https,undefined_lock_icon_on_the_page,undefined_certificate,undefined_website_privacy_statements,undefined_type_of_website,undefined_professionallooking_website,undefined_Other,What_is_the_main_definition_of_IoT,What_is_Access_Control_List,ResponseTime,participant,valid_participant,I_think_that_I_would_like_to_perform_this_analysis_frequently,I_found_the_analysis_unnecessarily_complex,I_thought_the_analysis_was_easy,I_think_that_I_would_need_the_support_of_a_technical_person_to_be_able_to_perform_the_analysis,I_found_the_various_components_in_this_analysis_were_well_integrated,I_thought_there_was_too_much_inconsistency_in_this_analysis,I_would_imagine_that_most_people_would_learn_to_use_this_analysis_very_quickly,I_found_this_analysis_very_cumbersome_to_perform,I_felt_very_confident_performing_the_analysis,I_needed_to_learn_a_lot_of_things_before_I_could_get_going_with_the_analysis,ResponseTime,workerId,assignmentId,valid_participant
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/mudviz,ashroyer,3,checked,checked,unchecked,unchecked,unchecked,unchecked,Motion,777_123,888_225,IPv4_123_50000,No,0_local_device__3_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,checked,unchecked,unchecked,unchecked,537929,aa8a6eb6b149713c33525e6dd0299e8af13c521690b2636fab05e74cc1645cad0357fb0c0345f216f8514d9f9814a5e2993d27f65e6da4cc1cbed3e4a8517711,,3040_years,Man,Bachelors_degree_e.g._BA_BS,Employed_full_time_40_or_more_hours_per_week,50000_to_74999,118569,aa8a6eb6b149713c33525e6dd0299e8af13c521690b2636fab05e74cc1645cad0357fb0c0345f216f8514d9f9814a5e2993d27f65e6da4cc1cbed3e4a8517711,,checked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,unchecked,checked,unchecked,unchecked,Inject_a_malicious_statement_to_the_database_through_a_website,I_Do_not_Know,Block_Hypertext_Transfer_Protocol_daemon,10,A_few_months_less_than_a_year,Once_every_year_or_less,checked,checked,unchecked,checked,unchecked,unchecked,checked,checked,checked,checked,unchecked,checked,checked,checked,checked,unchecked,unchecked,checked,checked,checked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_permissions_associated_with_an_object,377233,aa8a6eb6b149713c33525e6dd0299e8af13c521690b2636fab05e74cc1645cad0357fb0c0345f216f8514d9f9814a5e2993d27f65e6da4cc1cbed3e4a8517711,,2,10,10,1,10,1,10,1,8,1,107849,aa8a6eb6b149713c33525e6dd0299e8af13c521690b2636fab05e74cc1645cad0357fb0c0345f216f8514d9f9814a5e2993d27f65e6da4cc1cbed3e4a8517711,,
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/mudviz,aytabb,2,checked,checked,unchecked,unchecked,unchecked,unchecked,Motion,777_123,888_225,IPv4_123_50000,No,0_local_device__3_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,unchecked,unchecked,922029,f96324fe979f657e26c38c411577bb8314bbdf4ba71427001fe9d8effbb1d53396832a82d1cb8de85b9ed30b5e512c8fb5c2c9300ed99f08db97e442441155c0,,1830_years,Woman,Bachelors_degree_e.g._BA_BS,Employed_part_time_less_than_40_hours_per_week,Less_than_20000,162211,f96324fe979f657e26c38c411577bb8314bbdf4ba71427001fe9d8effbb1d53396832a82d1cb8de85b9ed30b5e512c8fb5c2c9300ed99f08db97e442441155c0,,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,checked,unchecked,checked,Inject_a_malicious_statement_to_the_database_through_a_website,Reactive_IDS_can_reprogram_the_Firewall_and_passive_IDS_does_not,Block_Hypertext_Transfer_Protocol_daemon,15,15_years,Once_every_week,unchecked,checked,unchecked,checked,unchecked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,unchecked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_permissions_associated_with_an_object,313515,f96324fe979f657e26c38c411577bb8314bbdf4ba71427001fe9d8effbb1d53396832a82d1cb8de85b9ed30b5e512c8fb5c2c9300ed99f08db97e442441155c0,,10,1,10,1,10,2,10,1,10,1,79872,f96324fe979f657e26c38c411577bb8314bbdf4ba71427001fe9d8effbb1d53396832a82d1cb8de85b9ed30b5e512c8fb5c2c9300ed99f08db97e442441155c0,,
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/mudviz,bestaple,2,checked,checked,unchecked,unchecked,unchecked,unchecked,Motion,777_123,456_50000,IPv4_123_50000,No,0_local_device__3_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,unchecked,unchecked,checked,checked,619994,9677222e19998434e73722edb436667c9f93daeb27d5600bd37c7e45b631aba5ecfd310cc25d780ea3258c0d9a979ae152a114cc6996c9265159eccb591d0778,,1830_years,Man,Bachelors_degree_e.g._BA_BS,Employed_part_time_less_than_40_hours_per_week,Less_than_20000,129548,9677222e19998434e73722edb436667c9f93daeb27d5600bd37c7e45b631aba5ecfd310cc25d780ea3258c0d9a979ae152a114cc6996c9265159eccb591d0778,,checked,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,Inject_a_malicious_statement_to_the_database_through_a_website,Passive_IDS_is_included_in_a_Firewall_while_reactive_IDS_is_a_standalone_network_component,Block_incoming_XMLhttp_Request,15,None,Once_every_year_or_less,checked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,checked,checked,checked,checked,checked,checked,checked,unchecked,unchecked,checked,checked,unchecked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_permissions_associated_with_an_object,282922,9677222e19998434e73722edb436667c9f93daeb27d5600bd37c7e45b631aba5ecfd310cc25d780ea3258c0d9a979ae152a114cc6996c9265159eccb591d0778,,3,1,3,1,7,10,10,6,3,3,67127,9677222e19998434e73722edb436667c9f93daeb27d5600bd37c7e45b631aba5ecfd310cc25d780ea3258c0d9a979ae152a114cc6996c9265159eccb591d0778,,
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/mudviz,chettige,2,checked,checked,unchecked,unchecked,unchecked,unchecked,Motion,777_123,888_225,IPv4_123_50000,No,0_local_device__3_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,unchecked,unchecked,735319,84c897bf10511ceafd10911d351bb8beb9746210219e76503e5997379c0f84dc44f3eeec479423dc8401e222c8a52a627583dbe133dbf92431d498882a736933,,1830_years,Man,Bachelors_degree_e.g._BA_BS,Student,20000_to_34999,259899,84c897bf10511ceafd10911d351bb8beb9746210219e76503e5997379c0f84dc44f3eeec479423dc8401e222c8a52a627583dbe133dbf92431d498882a736933,,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,checked,Inject_a_malicious_virus_to_the_database_SQL_engine,Reactive_IDS_can_reprogram_the_Firewall_and_passive_IDS_does_not,Block_Hypertext_Transfer_Protocol_daemon,15,None,Once_every_year_or_less,checked,checked,unchecked,checked,unchecked,unchecked,checked,unchecked,checked,unchecked,unchecked,checked,checked,checked,checked,checked,unchecked,checked,unchecked,unchecked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_permissions_associated_with_an_object,429480,84c897bf10511ceafd10911d351bb8beb9746210219e76503e5997379c0f84dc44f3eeec479423dc8401e222c8a52a627583dbe133dbf92431d498882a736933,,10,1,10,1,7,1,8,1,10,1,58110,84c897bf10511ceafd10911d351bb8beb9746210219e76503e5997379c0f84dc44f3eeec479423dc8401e222c8a52a627583dbe133dbf92431d498882a736933,,
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/mudviz,dkovacs,2,checked,checked,unchecked,unchecked,unchecked,unchecked,Motion,777_123,888_225,IPv4_123_50000,No,0_local_device__3_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,unchecked,unchecked,402613,b2743dff84eb729ebb0c993d2e6cb2061b010bf3b09bb2ba8487bb06cf95637be228f00a2646ddf03b29b6d0e89d55cbebcef831bebff54811adcc6ef467c464,,3040_years,Man,Masters_degree_e.g._MA_MS__MEd,Student,20000_to_34999,175902,b2743dff84eb729ebb0c993d2e6cb2061b010bf3b09bb2ba8487bb06cf95637be228f00a2646ddf03b29b6d0e89d55cbebcef831bebff54811adcc6ef467c464,,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,Inject_a_malicious_statement_to_the_database_through_a_website,Reactive_IDS_can_reprogram_the_Firewall_and_passive_IDS_does_not,Block_Hypertext_Transfer_Protocol_daemon,510,A_few_months_less_than_a_year,Once_every_week,checked,checked,unchecked,checked,checked,unchecked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,unchecked,checked,checked,checked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_permissions_associated_with_an_object,392690,b2743dff84eb729ebb0c993d2e6cb2061b010bf3b09bb2ba8487bb06cf95637be228f00a2646ddf03b29b6d0e89d55cbebcef831bebff54811adcc6ef467c464,,10,1,10,1,7,1,10,1,10,1,106908,b2743dff84eb729ebb0c993d2e6cb2061b010bf3b09bb2ba8487bb06cf95637be228f00a2646ddf03b29b6d0e89d55cbebcef831bebff54811adcc6ef467c464,,
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/mudviz,elicmitc,4,checked,checked,unchecked,unchecked,unchecked,unchecked,Motion,777_123,888_225,IPv4_123_50000,No,0_local_device__3_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,unchecked,unchecked,539205,ab57e00411ca046dd309af14851464ae5a3ce390832221f81b00bca7f9fba973c6d0cb4ce35233dbeaa6c2557ea2b9e1019fe304daf652e5d37d29be3b5c69ac,,1830_years,Man,High_school_degree_or_equivalent_e.g._GED_Some_college_no__degree,Student,Less_than_20000,295979,ab57e00411ca046dd309af14851464ae5a3ce390832221f81b00bca7f9fba973c6d0cb4ce35233dbeaa6c2557ea2b9e1019fe304daf652e5d37d29be3b5c69ac,,checked,checked,checked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,I_Do_not_Know,I_Do_not_Know,I_Do_not_Know,15,A_few_months_less_than_a_year,Once_every_year_or_less,checked,checked,unchecked,checked,unchecked,unchecked,checked,checked,checked,unchecked,unchecked,checked,checked,checked,checked,checked,unchecked,checked,checked,unchecked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_permissions_associated_with_an_object,206898,ab57e00411ca046dd309af14851464ae5a3ce390832221f81b00bca7f9fba973c6d0cb4ce35233dbeaa6c2557ea2b9e1019fe304daf652e5d37d29be3b5c69ac,,7,3,8,6,9,3,9,3,9,2,100780,ab57e00411ca046dd309af14851464ae5a3ce390832221f81b00bca7f9fba973c6d0cb4ce35233dbeaa6c2557ea2b9e1019fe304daf652e5d37d29be3b5c69ac,,
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/mudviz,esadeqia,2,checked,checked,unchecked,unchecked,unchecked,unchecked,Motion,777_123,888_225,IPv4_123_50000,No,0_local_device__3_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,unchecked,unchecked,998362,218b04095ba795aab9620525f185a64fc947f9f5305bf5526a61c1d0579bd97eaa462925260c5305cd039768476d8259e09c0f15d3f67a488a72450f61b0228d,,3040_years,Man,Doctorate_e.g._PhD_EdD,Employed_full_time_40_or_more_hours_per_week,More_than_100000,134128,218b04095ba795aab9620525f185a64fc947f9f5305bf5526a61c1d0579bd97eaa462925260c5305cd039768476d8259e09c0f15d3f67a488a72450f61b0228d,,checked,checked,checked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Inject_a_malicious_statement_to_the_database_through_a_website,Reactive_IDS_can_reprogram_the_Firewall_and_passive_IDS_does_not,Block_Hypertext_Transfer_Protocol_daemon,510,A_few_months_less_than_a_year,Once_every_month,checked,unchecked,unchecked,checked,unchecked,unchecked,checked,unchecked,checked,unchecked,checked,checked,checked,checked,checked,unchecked,unchecked,checked,unchecked,checked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_permissions_associated_with_an_object,383464,218b04095ba795aab9620525f185a64fc947f9f5305bf5526a61c1d0579bd97eaa462925260c5305cd039768476d8259e09c0f15d3f67a488a72450f61b0228d,,5,9,3,2,9,2,8,9,8,5,143678,218b04095ba795aab9620525f185a64fc947f9f5305bf5526a61c1d0579bd97eaa462925260c5305cd039768476d8259e09c0f15d3f67a488a72450f61b0228d,,
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/mudviz,hc50,2,checked,checked,unchecked,unchecked,unchecked,unchecked,Motion,777_123,888_225,IPv4_123_50000,No,0_local_device__3_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,unchecked,unchecked,551056,5187d5080b6a15a42a2ec893069bc131ca6207ad5c5fc25e2d95d95e88fd44bd0065e8064bca915fb46818cb6922b8a1016369e92753d912a5e53d3b1a29369a,,1830_years,Man,Bachelors_degree_e.g._BA_BS,Student,Prefer_not_to_disclose,218271,5187d5080b6a15a42a2ec893069bc131ca6207ad5c5fc25e2d95d95e88fd44bd0065e8064bca915fb46818cb6922b8a1016369e92753d912a5e53d3b1a29369a,,checked,checked,checked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,checked,unchecked,unchecked,Inject_a_malicious_statement_to_the_database_through_a_website,I_Do_not_Know,Block_Hypertext_Transfer_Protocol_daemon,10,None,Many_times_every_day,checked,checked,unchecked,checked,unchecked,unchecked,checked,checked,checked,checked,checked,checked,checked,checked,checked,unchecked,unchecked,checked,unchecked,unchecked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,I_dont_know,317916,5187d5080b6a15a42a2ec893069bc131ca6207ad5c5fc25e2d95d95e88fd44bd0065e8064bca915fb46818cb6922b8a1016369e92753d912a5e53d3b1a29369a,,8,8,1,1,5,3,8,2,10,1,88133,5187d5080b6a15a42a2ec893069bc131ca6207ad5c5fc25e2d95d95e88fd44bd0065e8064bca915fb46818cb6922b8a1016369e92753d912a5e53d3b1a29369a,,
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/mudviz,jamrbroo,2,checked,checked,unchecked,unchecked,unchecked,unchecked,Motion,777_123,888_225,IPv4_123_50000,No,0_local_device__3_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,unchecked,unchecked,394199,5ba42da5da1cd5ecc147057cf9c8cee7e9ec6fafe5636b6115804dd3efa64845e0dc6f6b493ab985ebb0e3be1062f6d968990f8201998bdc75826c5830e9e34e,,3040_years,Man,Masters_degree_e.g._MA_MS__MEd,Employed_full_time_40_or_more_hours_per_week,Prefer_not_to_disclose,197493,5ba42da5da1cd5ecc147057cf9c8cee7e9ec6fafe5636b6115804dd3efa64845e0dc6f6b493ab985ebb0e3be1062f6d968990f8201998bdc75826c5830e9e34e,,checked,checked,checked,checked,unchecked,unchecked,unchecked,checked,checked,unchecked,unchecked,unchecked,Inject_a_malicious_statement_to_the_database_through_a_website,Reactive_IDS_can_reprogram_the_Firewall_and_passive_IDS_does_not,Block_Hypertext_Transfer_Protocol_daemon,15,15_years,Once_every_week,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,checked,checked,unchecked,checked,checked,checked,unchecked,checked,checked,checked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_permissions_associated_with_an_object,509257,5ba42da5da1cd5ecc147057cf9c8cee7e9ec6fafe5636b6115804dd3efa64845e0dc6f6b493ab985ebb0e3be1062f6d968990f8201998bdc75826c5830e9e34e,,7,2,9,2,9,1,10,1,9,1,42942,5ba42da5da1cd5ecc147057cf9c8cee7e9ec6fafe5636b6115804dd3efa64845e0dc6f6b493ab985ebb0e3be1062f6d968990f8201998bdc75826c5830e9e34e,,
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/mudviz,jemusser,2,checked,checked,unchecked,unchecked,unchecked,unchecked,Smartfridge,777_123,888_225,IPv6_123_50000,No,0_local_device__3_remote_servers,checked,checked,checked,unchecked,unchecked,unchecked,checked,checked,unchecked,unchecked,400008,2551a8b026d6b6104e1dddc82fc898ff1910822296070eec385a44ddbc16d3791c2226112f2312aad8e2c647717cc2ba7f342a89191b7c5e47092f4b77000860,,3040_years,Man,Bachelors_degree_e.g._BA_BS,Student,20000_to_34999,78128,2551a8b026d6b6104e1dddc82fc898ff1910822296070eec385a44ddbc16d3791c2226112f2312aad8e2c647717cc2ba7f342a89191b7c5e47092f4b77000860,,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,checked,Inject_a_malicious_statement_to_the_database_through_a_website,Reactive_IDS_can_reprogram_the_Firewall_and_passive_IDS_does_not,Block_Hypertext_Transfer_Protocol_daemon,510,15_years,Once_every_year_or_less,checked,unchecked,unchecked,checked,unchecked,unchecked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,unchecked,checked,checked,unchecked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_permissions_associated_with_an_object,451532,2551a8b026d6b6104e1dddc82fc898ff1910822296070eec385a44ddbc16d3791c2226112f2312aad8e2c647717cc2ba7f342a89191b7c5e47092f4b77000860,,7,6,7,3,7,4,5,4,7,2,102708,2551a8b026d6b6104e1dddc82fc898ff1910822296070eec385a44ddbc16d3791c2226112f2312aad8e2c647717cc2ba7f342a89191b7c5e47092f4b77000860,,
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/mudviz,ms115,2,checked,checked,unchecked,unchecked,unchecked,unchecked,Motion,777_123,888_225,IPv4_123_50000,No,0_local_device__3_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,unchecked,unchecked,425312,7ef3539877c17bad5635ac625a9b5cf2b5523deec3c9ed418951a8c48d0d94b49353ac5a030488be05c5c42bb64db77c2da5f418df488b3e0e1ce7de9d731f50,,5060_years,Man,Masters_degree_e.g._MA_MS__MEd,Student,Less_than_20000,110686,7ef3539877c17bad5635ac625a9b5cf2b5523deec3c9ed418951a8c48d0d94b49353ac5a030488be05c5c42bb64db77c2da5f418df488b3e0e1ce7de9d731f50,,checked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,Inject_a_malicious_virus_to_the_database_SQL_engine,I_Do_not_Know,Block_incoming_XMLhttp_Request,15,15_years,Once_every_year_or_less,checked,checked,unchecked,checked,unchecked,checked,checked,checked,checked,checked,checked,checked,checked,checked,unchecked,checked,checked,checked,unchecked,checked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_permissions_associated_with_an_object,133499,7ef3539877c17bad5635ac625a9b5cf2b5523deec3c9ed418951a8c48d0d94b49353ac5a030488be05c5c42bb64db77c2da5f418df488b3e0e1ce7de9d731f50,,3,2,8,2,2,2,5,2,8,2,101151,7ef3539877c17bad5635ac625a9b5cf2b5523deec3c9ed418951a8c48d0d94b49353ac5a030488be05c5c42bb64db77c2da5f418df488b3e0e1ce7de9d731f50,,
Values,/mnt/c/Users/vafaa/gitrepos/mud_results/mudviz,mth,2,checked,checked,unchecked,unchecked,unchecked,unchecked,Motion,777_123,888_225,IPv4_123_50000,No,0_local_device__3_remote_servers,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,unchecked,unchecked,621906,58641784b56663b5ca8482c1d950a6e026313cbedff2fceea1896bba8a35b756c5f5a883ea15b96e097198f7a1d1f9e2ab3a60dbd88ed2110552963a8a7d9d05,,1830_years,Man,Bachelors_degree_e.g._BA_BS,Student,20000_to_34999,353050,58641784b56663b5ca8482c1d950a6e026313cbedff2fceea1896bba8a35b756c5f5a883ea15b96e097198f7a1d1f9e2ab3a60dbd88ed2110552963a8a7d9d05,,checked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,unchecked,unchecked,unchecked,unchecked,unchecked,Inject_a_malicious_statement_to_the_database_through_a_website,I_Do_not_Know,Block_Hypertext_Transfer_Protocol_daemon,510,15_years,Once_every_year_or_less,unchecked,unchecked,unchecked,unchecked,unchecked,unchecked,checked,checked,checked,checked,checked,checked,checked,checked,checked,checked,unchecked,checked,checked,checked,The_Internet_of_Things_IoT_describes_the_network_of_objects_that_are_connected_and_exchange_data_with_other_devices_and_systems_over_the_internet,list_of_permissions_associated_with_an_object,228777,58641784b56663b5ca8482c1d950a6e026313cbedff2fceea1896bba8a35b756c5f5a883ea15b96e097198f7a1d1f9e2ab3a60dbd88ed2110552963a8a7d9d05,,8,4,10,1,6,1,2,2,10,1,106869,58641784b56663b5ca8482c1d950a6e026313cbedff2fceea1896bba8a35b756c5f5a883ea15b96e097198f7a1d1f9e2ab3a60dbd88ed2110552963a8a7d9d05,,
